"Basic Commission Rate(8%)","","","","","","","",""
"Product's Info","Unit Price($)","Image Link","Product Link","Store's Info","Store Link","Sold Quantity","Promotion Times","Commission Expense"
"Phone Case For Samsung Galaxy A50 A30 M20 M10 Gradient Tempered Glass Case For Galaxy A6 A7 A750 A8 2018 Glass Case Cover","3.32","https://ae01.alicdn.com/kf/HTB1zI8Obu3tHKVjSZSgq6x4QFXa0/Phone-Case-For-Samsung-font-b-Galaxy-b-font-A50-A30-M20-M10-Gradient-Tempered-Glass.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FPhone-Case-For-Samsung-Galaxy-A50-A30-M20-M10-Gradient-Tempered-Glass-Case-For-Galaxy-A6%2F32994337555.html","iMefone Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3902014","193","2","0.48",
"Hybrid case For Samsung Galaxy A6 A6Plus 2018 Luxury Soft silicone+PC With stand Protector back cover for samsung a6 plus 2018","4.23","https://ae01.alicdn.com/kf/HTB1uX3RaPfguuRjSspaq6yXVXXaD/Hybrid-case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-A6Plus-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FHybrid-case-For-Samsung-Galaxy-A6-A6Plus-2018-Luxury-Soft-silicone-PC-With-stand-Protector-back%2F32906527437.html","Top wonderful store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1626358","848","17","5.69",
"CROWNPRO Silicone Case FOR Samsung Galaxy A6 2018 Case Cover SM A600 A600F Soft TPU sFOR Samsung A6 Plus 2018 Case A605 A605F","1.20","https://ae01.alicdn.com/kf/HTB111GaCh1YBuNjy1zcq6zNcXXaB/CROWNPRO-Silicone-Case-FOR-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCROWNPRO-Silicone-Case-FOR-Samsung-Galaxy-A6-2018-Case-Cover-SM-A600-A600F-Soft-TPU-sFOR%2F32890820370.html",,"http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fnull","360","11","1.51",
"Cover For Samsung Galaxy A6 2018 Case ,High Quality Phone Black Back Cover Case for Samsung Galaxy A6 plus 2018 Phone Case Cover","1.56","https://ae01.alicdn.com/kf/HTB1mD4dB2iSBuNkSnhJq6zDcpXaA/Cover-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case-High.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCover-For-Samsung-Galaxy-A6-2018-Case-High-Quality-Phone-Black-Back-Cover-Case-for-Samsung%2F32913218641.html","Linlin Digital Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2621001","862","18","2.78",
"Dynamic Liquid Quicksand Soft Case for Samsung Galaxy A6 A8 A7 2018 A750 S9 S8 Plus S7 Edge A3 A5 A7 2017 J3 J5 J7 2016 Note 8 9","2.49","https://ae01.alicdn.com/kf/HTB1nbraXZfrK1RkSnb4q6xHRFXaf/Dynamic-Liquid-Quicksand-Soft-Case-for-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FDynamic-Liquid-Quicksand-Soft-Case-for-Samsung-Galaxy-A6-A8-A7-2018-A750-S9-S8-Plus%2F32959827547.html","Shop3631022 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3631022","3405","114","25.0",
"Mokoemi Fashion Pattern Luxury Soft 5.6""For Samsung Galaxy A6 2018 Case For Samsung Galaxy A6 Plus 2018 Phone Case Cover","1.99","https://ae01.alicdn.com/kf/HLB1mw94QgDqK1RjSZSyq6yxEVXaq/Mokoemi-Fashion-Pattern-Luxury-Soft-5-6-For-Samsung-font-b-Galaxy-b-font-font-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FMokoemi-Fashion-Pattern-Luxury-Soft-5-6-For-Samsung-Galaxy-A6-2018-Case-For-Samsung-Galaxy%2F32998281375.html","Mokoemi Tech Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1504185","41","0","0",
"A6 A6+ For Samsung Galaxy A6 2018 Case Silicon SM A600 A600F Soft Tpu Phone Back For Samsung A6 Plus 2018 Case A605 A605F Bumper","1.00","https://ae01.alicdn.com/kf/HTB1NczxCoR1BeNjy0Fmq6z0wVXaS/-font-b-A6-b-font-font-b-A6-b-font-For-Samsung-font-b-Galaxy.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FA6-A6-For-Samsung-Galaxy-A6-2018-Case-Silicon-SM-A600-A600F-Soft-Tpu-Phone-Back%2F32890988436.html",,"http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fnull","1837","63","9.1",
"Ultra-thin Canvas Silicone Case For Samsung Galaxy A6 Plus 2018 Fabric Cloth Texture Soft Cover for Samsung Galaxy A6 2018 Case","2.56","https://ae01.alicdn.com/kf/HTB1zo8aasfrK1Rjy0Fmq6xhEXXaY/Ultra-thin-Canvas-Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FUltra-thin-Canvas-Silicone-Case-For-Samsung-Galaxy-A6-Plus-2018-Fabric-Cloth-Texture-Soft-Cover%2F32965955857.html","Y-MET Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1899891","548","10","1.7",
"Silicone Case For Samsung Galaxy A6 2018 case SM A600 A600F Soft Tpu Cover For Samsung A6 Plus 2018 cover A605 A605F shell funda","1.59","https://ae01.alicdn.com/kf/HTB1zl13N4naK1RjSZFtq6zC2VXaK/Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-Case-For-Samsung-Galaxy-A6-2018-case-SM-A600-A600F-Soft-Tpu-Cover-For-Samsung%2F32915501949.html","Shop4411219 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4411219","2465","38","5.36",
"For Samsung Galaxy A6 2018 Case For A6+ 2018 business With finger ring Magnetism Holder Phone Back Cover For A6 Plus 2018 Coque","2.99","https://ae01.alicdn.com/kf/HTB1ZPGpX6zuK1RjSsppq6xz0XXaV/For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case-For-font.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FFor-Samsung-Galaxy-A6-2018-Case-For-A6-2018-business-With-finger-ring-Magnetism-Holder-Phone%2F32957618566.html","Shop4422038 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4422038","105","0","0",
"For Armor Case Samsung Galaxy A6 2018 Case Robot Silicone Rubber Hard Back Phone Cover For Samsung Galaxy A6 2018 a600 HATOLY","4.25","https://ae01.alicdn.com/kf/HTB1yDdQmcUrBKNjSZPxq6x00pXaT/For-Armor-Case-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FFor-Armor-Case-Samsung-Galaxy-A6-2018-Case-Robot-Silicone-Rubber-Hard-Back-Phone-Cover-For%2F32879057795.html","HATOLY Mobile Phone Cases World Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2028030","495","16","3.81",
"Mirror View Smart Flip Case For Samsung Galaxy A6 A7 A8 A9 2018 J4 J6 S8 S9 Plus J8 A600 J2 Core A5 J3 J5 J7 Neo 2017 S7 Edge","2.99","https://ae01.alicdn.com/kf/HTB1_FGedDZmx1VjSZFGq6yx2XXaI/Mirror-View-Smart-Flip-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FMirror-View-Smart-Flip-Case-For-Samsung-Galaxy-A6-A7-A8-A9-2018-J4-J6-S8%2F32983570299.html","HJin Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3686078","930","35","12.83",
"Liquid Quicksand Silicone Case For Samsung Galaxy A6 J6 J4 Plus A8 2018 S9 S8 S7 Edge Note 9 8 A3 A5 A7 J3 J5 J7 Prime 2017 2016","2.89","https://ae01.alicdn.com/kf/HLB1LkwDayDxK1RjSsphq6zHrpXaN/Liquid-Quicksand-Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FLiquid-Quicksand-Silicone-Case-For-Samsung-Galaxy-A6-J6-J4-Plus-A8-2018-S9-S8-S7%2F32967854039.html","Fashion Case Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1774135","778","19","4.46",
"Wrist Strap Soft Case For Samsung A8 2018 Case For Samsung Galaxy A6 A8 S8 S9 J4 J6 Plus Note 9 8 Cover Vintage Holder Back Case","3.32","https://ae01.alicdn.com/kf/HTB1r6c1bh_rK1RkHFqDq6yJAFXaj/Wrist-Strap-Soft-Case-For-Samsung-A8-2018-Case-For-Samsung-font-b-Galaxy-b-font.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FWrist-Strap-Soft-Case-For-Samsung-A8-2018-Case-For-Samsung-Galaxy-A6-A8-S8-S9%2F32976946949.html","YTD TECHNOLOGY CO., LTD.","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F511261","25","0","0",
"For Samsung A6 Plus Case Samsung A6 2018 Case Luxury Hard PC Cover Bumper For Samsung Galaxy A6 2018 Phone Case Funda Back Cover","1.50","https://ae01.alicdn.com/kf/HTB1Ei..DwaTBuNjSszfq6xgfpXaO/For-Samsung-font-b-A6-b-font-Plus-Case-Samsung-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FFor-Samsung-A6-Plus-Case-Samsung-A6-2018-Case-Luxury-Hard-PC-Cover-Bumper-For-Samsung%2F32895971237.html","DUANGSAN Official Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2132119","906","36","4.72",
"Silicone hone Cases For Samsung Galaxy A6 2018 Dual SIM SM A600 A600F Soft Tpu Back Cover For Samsung A6 Plus 2018 A605 A605F","1.59","https://ae01.alicdn.com/kf/HTB1UQ2uXoLrK1Rjy0Fjq6zYXFXaF/Silicone-hone-Cases-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-hone-Cases-For-Samsung-Galaxy-A6-2018-Dual-SIM-SM-A600-A600F-Soft-Tpu-Back%2F32932276034.html","PAZAK Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4470041","435","17","2.24",
"soft Silicone Case For Samsung Galaxy A6 2018 Dual SIM SM A600 A600F Soft Tpu Back Cover For Samsung A6 Plus 2018 A605 A605F","1.20","https://ae01.alicdn.com/kf/HTB1tDh1acrrK1Rjy1zeq6xalFXaP/soft-Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2Fsoft-Silicone-Case-For-Samsung-Galaxy-A6-2018-Dual-SIM-SM-A600-A600F-Soft-Tpu-Back%2F32962527670.html","Shop4496050 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4496050","2851","115","15.87",
"Silicone Case For Samsung Galaxy A6 2018 case SM A600 A600F Candy Soft Case For Samsung A6 Plus 2018 cover A605 A605F funda","1.32","https://ae01.alicdn.com/kf/HTB1CvggaznuK1RkSmFPq6AuzFXaU/Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-Case-For-Samsung-Galaxy-A6-2018-case-SM-A600-A600F-Candy-Soft-Case-For-Samsung%2F32965281492.html","Shenzhen B2C Trading Co., Ltd.","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2179166","883","30","3.27",
"Case For Samsung Galaxy A6 2018 Transparent Cartoon Soft TPU Silicone Phone Cases Back Cover For Samsung Galaxy A6 A 6 Plus 2018","1.27","https://ae01.alicdn.com/kf/HTB1hu36lbsrBKNjSZFpq6AXhFXav/Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Transparent-Cartoon.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCase-For-Samsung-Galaxy-A6-2018-Transparent-Cartoon-Soft-TPU-Silicone-Phone-Cases-Back-Cover-For%2F32900519573.html","RIVAS Laconic Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1905856","3611","130","17.9",
"Silicone case For Samsung Galaxy A6 2018 case Dual SIM SM A600 A600F for samsung A6 plus 2018 A605 A605F protective pattern bags","1.59","https://ae01.alicdn.com/kf/HTB1CaA0KeGSBuNjSspbq6AiipXaw/Silicone-case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-case-For-Samsung-Galaxy-A6-2018-case-Dual-SIM-SM-A600-A600F-for-samsung-A6%2F32922271335.html","PAZAK factory Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4498037","1402","38","5.2",
"Phone Case For Samsung Galaxy A50 A30 M20 M10 Gradient Tempered Glass Case For Galaxy A6 A7 A750 A8 2018 Glass Case Cover","3.32","https://ae01.alicdn.com/kf/HTB1zI8Obu3tHKVjSZSgq6x4QFXa0/Phone-Case-For-Samsung-font-b-Galaxy-b-font-A50-A30-M20-M10-Gradient-Tempered-Glass.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FPhone-Case-For-Samsung-Galaxy-A50-A30-M20-M10-Gradient-Tempered-Glass-Case-For-Galaxy-A6%2F32994337555.html","iMefone Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3902014","193","2","0.48",
"Hybrid case For Samsung Galaxy A6 A6Plus 2018 Luxury Soft silicone+PC With stand Protector back cover for samsung a6 plus 2018","4.23","https://ae01.alicdn.com/kf/HTB1uX3RaPfguuRjSspaq6yXVXXaD/Hybrid-case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-A6Plus-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FHybrid-case-For-Samsung-Galaxy-A6-A6Plus-2018-Luxury-Soft-silicone-PC-With-stand-Protector-back%2F32906527437.html","Top wonderful store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1626358","848","17","5.69",
"CROWNPRO Silicone Case FOR Samsung Galaxy A6 2018 Case Cover SM A600 A600F Soft TPU sFOR Samsung A6 Plus 2018 Case A605 A605F","1.20","https://ae01.alicdn.com/kf/HTB111GaCh1YBuNjy1zcq6zNcXXaB/CROWNPRO-Silicone-Case-FOR-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCROWNPRO-Silicone-Case-FOR-Samsung-Galaxy-A6-2018-Case-Cover-SM-A600-A600F-Soft-TPU-sFOR%2F32890820370.html",,"http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fnull","360","11","1.51",
"Cover For Samsung Galaxy A6 2018 Case ,High Quality Phone Black Back Cover Case for Samsung Galaxy A6 plus 2018 Phone Case Cover","1.56","https://ae01.alicdn.com/kf/HTB1mD4dB2iSBuNkSnhJq6zDcpXaA/Cover-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case-High.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCover-For-Samsung-Galaxy-A6-2018-Case-High-Quality-Phone-Black-Back-Cover-Case-for-Samsung%2F32913218641.html","Linlin Digital Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2621001","862","18","2.78",
"Dynamic Liquid Quicksand Soft Case for Samsung Galaxy A6 A8 A7 2018 A750 S9 S8 Plus S7 Edge A3 A5 A7 2017 J3 J5 J7 2016 Note 8 9","2.49","https://ae01.alicdn.com/kf/HTB1nbraXZfrK1RkSnb4q6xHRFXaf/Dynamic-Liquid-Quicksand-Soft-Case-for-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FDynamic-Liquid-Quicksand-Soft-Case-for-Samsung-Galaxy-A6-A8-A7-2018-A750-S9-S8-Plus%2F32959827547.html","Shop3631022 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3631022","3405","114","25.0",
"Mokoemi Fashion Pattern Luxury Soft 5.6""For Samsung Galaxy A6 2018 Case For Samsung Galaxy A6 Plus 2018 Phone Case Cover","1.99","https://ae01.alicdn.com/kf/HLB1mw94QgDqK1RjSZSyq6yxEVXaq/Mokoemi-Fashion-Pattern-Luxury-Soft-5-6-For-Samsung-font-b-Galaxy-b-font-font-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FMokoemi-Fashion-Pattern-Luxury-Soft-5-6-For-Samsung-Galaxy-A6-2018-Case-For-Samsung-Galaxy%2F32998281375.html","Mokoemi Tech Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1504185","41","0","0",
"A6 A6+ For Samsung Galaxy A6 2018 Case Silicon SM A600 A600F Soft Tpu Phone Back For Samsung A6 Plus 2018 Case A605 A605F Bumper","1.00","https://ae01.alicdn.com/kf/HTB1NczxCoR1BeNjy0Fmq6z0wVXaS/-font-b-A6-b-font-font-b-A6-b-font-For-Samsung-font-b-Galaxy.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FA6-A6-For-Samsung-Galaxy-A6-2018-Case-Silicon-SM-A600-A600F-Soft-Tpu-Phone-Back%2F32890988436.html",,"http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fnull","1837","63","9.1",
"Ultra-thin Canvas Silicone Case For Samsung Galaxy A6 Plus 2018 Fabric Cloth Texture Soft Cover for Samsung Galaxy A6 2018 Case","2.56","https://ae01.alicdn.com/kf/HTB1zo8aasfrK1Rjy0Fmq6xhEXXaY/Ultra-thin-Canvas-Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FUltra-thin-Canvas-Silicone-Case-For-Samsung-Galaxy-A6-Plus-2018-Fabric-Cloth-Texture-Soft-Cover%2F32965955857.html","Y-MET Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1899891","548","10","1.7",
"Silicone Case For Samsung Galaxy A6 2018 case SM A600 A600F Soft Tpu Cover For Samsung A6 Plus 2018 cover A605 A605F shell funda","1.59","https://ae01.alicdn.com/kf/HTB1zl13N4naK1RjSZFtq6zC2VXaK/Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-Case-For-Samsung-Galaxy-A6-2018-case-SM-A600-A600F-Soft-Tpu-Cover-For-Samsung%2F32915501949.html","Shop4411219 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4411219","2465","38","5.36",
"For Samsung Galaxy A6 2018 Case For A6+ 2018 business With finger ring Magnetism Holder Phone Back Cover For A6 Plus 2018 Coque","2.99","https://ae01.alicdn.com/kf/HTB1ZPGpX6zuK1RjSsppq6xz0XXaV/For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case-For-font.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FFor-Samsung-Galaxy-A6-2018-Case-For-A6-2018-business-With-finger-ring-Magnetism-Holder-Phone%2F32957618566.html","Shop4422038 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4422038","105","0","0",
"For Armor Case Samsung Galaxy A6 2018 Case Robot Silicone Rubber Hard Back Phone Cover For Samsung Galaxy A6 2018 a600 HATOLY","4.25","https://ae01.alicdn.com/kf/HTB1yDdQmcUrBKNjSZPxq6x00pXaT/For-Armor-Case-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FFor-Armor-Case-Samsung-Galaxy-A6-2018-Case-Robot-Silicone-Rubber-Hard-Back-Phone-Cover-For%2F32879057795.html","HATOLY Mobile Phone Cases World Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2028030","495","16","3.81",
"Mirror View Smart Flip Case For Samsung Galaxy A6 A7 A8 A9 2018 J4 J6 S8 S9 Plus J8 A600 J2 Core A5 J3 J5 J7 Neo 2017 S7 Edge","2.99","https://ae01.alicdn.com/kf/HTB1_FGedDZmx1VjSZFGq6yx2XXaI/Mirror-View-Smart-Flip-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FMirror-View-Smart-Flip-Case-For-Samsung-Galaxy-A6-A7-A8-A9-2018-J4-J6-S8%2F32983570299.html","HJin Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3686078","930","35","12.83",
